Variable,Coef,CI_low,CI_high,Model
Intercept,82.16938729040233,82.12912037531473,82.20965420548993,OLS
C(age_class)[T.2 years],-0.98177615195224,-1.029909599291577,-0.933642704612903,OLS
C(age_class)[T.3 years],-1.9699094243334256,-2.018042871672763,-1.921775976994088,OLS
C(age_class)[T.4 years],-2.959550653386457,-3.0076841007258057,-2.9114172060471084,OLS
C(age_class)[T.Less than 1 year],0.7418443908708562,0.6937569723649656,0.7899318093767468,OLS
C(Gender)[T.M],-5.514950154862042,-5.552219839585327,-5.477680470138758,OLS
C(Gender)[T.T],-2.7229984830591154,-2.7602681677824,-2.685728798335831,OLS
Year_centered,-0.014023885076645093,-0.018942555209837716,-0.009105214943452468,OLS
Spending_centered,0.0003310121354751184,0.0003101299076734321,0.00035189436327680474,OLS
C(Gender)[T.M]:Spending_centered,0.0002906447792600571,0.0002611173227763084,0.0003201722357438058,OLS
C(Gender)[T.T]:Spending_centered,0.0001434013488081478,0.00011387389232439909,0.0001729288052918965,OLS
Intercept,4.709049061694135,4.589277197839548,4.828820925548722,GLM
C(Gender)[T.M],0.6611756021063164,0.5888259387598319,0.733525265452801,GLM
C(Gender)[T.T],0.37772207388437384,0.3363757022645733,0.4190684455041744,GLM
Spending_centered,-4.8423717802522066e-05,-7.683636097066187e-05,-2.0011074634382264e-05,GLM
C(Gender)[T.M]:Spending_centered,-3.526924838416114e-05,-4.9394841809006124e-05,-2.1143654959316166e-05,GLM
C(Gender)[T.T]:Spending_centered,-1.9827851796684204e-05,-2.7571541112494263e-05,-1.2084162480874144e-05,GLM
Year_centered,-0.0006656107053690727,-0.008620308070701934,0.007289086659963789,GLM
Intercept,4.7270349029294,4.590110075674231,4.86395973018457,Mixed
C(Gender)[T.M],0.6611756021063259,0.6556435209277547,0.666707683284897,Mixed
C(Gender)[T.T],0.3777220738843891,0.372189992705818,0.38325415506296023,Mixed
Spending_centered,1.8368762155540466e-05,1.5219814365013336e-05,2.1517709946067596e-05,Mixed
C(Gender)[T.M]:Spending_centered,-3.5269248388763954e-05,-3.9652121157279094e-05,-3.0886375620248815e-05,Mixed
C(Gender)[T.T]:Spending_centered,-1.9827851792252243e-05,-2.4210724560767386e-05,-1.54449790237371e-05,Mixed
Year_centered,-0.006735335125604682,-0.007479414565918611,-0.005991255685290754,Mixed
Group Var,0.795717409669363,0.408651049186751,1.182783770151975,Mixed
