Variable,Coefficient,Std. Error,p-value,CI Lower,CI Upper
Intercept,110.27700408051919,5.062201505544736,4.724988170344927e-105,100.35519259408615,120.19881556695223
C(age_class)[T.2 years],-0.9817761519521884,0.024558137385168263,0.0,-1.0299095992925749,-0.9336427046118018
C(age_class)[T.3 years],-1.9699094243333684,0.02455813738516784,0.0,-2.018042871673754,-1.9217759769929825
C(age_class)[T.4 years],-2.9595506533863762,0.024558137385167208,0.0,-3.0076841007267605,-2.911417206045992
C(age_class)[T.Less than 1 year],0.7418443908090028,0.0245346530415812,3.0796995033824445e-200,0.6937569723020591,0.7899318093159464
C(Gender)[T.M],-5.67418393471672,0.020729360352659813,0.0,-5.714813057328326,-5.633554812105115
C(Gender)[T.T],-2.8015629039980823,0.02072936035266016,0.0,-2.842192026609688,-2.7609337813864765
Year,-0.014023885074525677,0.0025095517474925965,2.2982188494056412e-08,-0.018942555207825867,-0.009105214941225487
Spending,0.0003310121392021874,1.0654309072110915e-05,2.963636016814729e-211,0.0003101299111802702,0.00035189436722410464
C(Gender)[T.M]:Spending,0.0002906447815755835,1.5065186074914854e-05,7.805087145384596e-83,0.0002611173247804284,0.0003201722383707386
C(Gender)[T.T]:Spending,0.00014340134979085598,1.5065186074914737e-05,1.777485222958242e-21,0.0001138738929957011,0.00017292880658601085
